gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
5146399601,15705a36-07a7-4e78-aa89-b9fa5a7e8dda,newsreserveaskania_11278,Fungi,Ascomycota,Pezizomycetes,Pezizales,Sarcoscyphaceae,Sarcoscypha,Sarcoscypha austriaca,,SPECIES,Sarcoscypha austriaca (Beck ex Sacc.) Boud.,Sarcoscypha austriaca (Beck ex Sacc.) Boud.,,UA,Hutsulshchyna National Nature Park,Ivano-Frankivsk Region,PRESENT,,adc3d841-aefb-4d7c-9ab1-2156d614b27b,48.32975,24.99062,1000,,,,,,2010/2023,,,,8689016,8689016,MATERIAL_CITATION,,,,,Fokshei S.I.,,CC_BY_4_0,,Fokshei S.I.,,,2025-05-09T11:05:03.619Z,,
5104981580,fc003476-0896-4209-80a1-d6401630e33d,Lvivhazvydobuvannia_biodiversity_winter_142,Fungi,Ascomycota,Pezizomycetes,Pezizales,Sarcoscyphaceae,Sarcoscypha,,,GENUS,Sarcoscypha (Fr.) Boud.,Sarcoscypha,,UA,Horodkivka,Lviv region,PRESENT,,acfa11ed-59bf-4230-a01b-ac64661344d6,49.500017,23.720035,20,,,,,,2025-01-11,11,1,2025,2581823,,HUMAN_OBSERVATION,,,,,Nerush R. Yu,,CC_BY_4_0,,Nerush R. Yu,,,2025-04-05T09:53:00.501Z,,
5104266142,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/202507474,Fungi,Ascomycota,Pezizomycetes,Pezizales,Sarcoscyphaceae,Sarcoscypha,,,GENUS,Sarcoscypha (Fr.) Boud.,Sarcoscypha,,UA,,Transcarpathia,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,48.185348,23.366647,4,,,,,,2024-03-15T11:20:59,15,3,2024,2581823,,HUMAN_OBSERVATION,iNaturalist,Observations,202507474,,zorille,2024-03-15T09:39:03,CC_BY_4_0,Алла Козурак,Алла Козурак,,,2025-05-16T20:20:41.317Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5069858245,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/260244156,Fungi,Ascomycota,Pezizomycetes,Pezizales,Sarcoscyphaceae,Sarcoscypha,,,GENUS,Sarcoscypha (Fr.) Boud.,Sarcoscypha,,UA,,Kiev City,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,50.360973,30.523661,15,,,,,,2025-01-30T13:34,30,1,2025,2581823,,HUMAN_OBSERVATION,iNaturalist,Observations,260244156,,Denis Davydov,2025-02-01T10:29:50,CC_BY_NC_4_0,Denis Davydov,Denis Davydov,,,2025-05-16T21:54:33.104Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5062549234,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/149649884,Fungi,Ascomycota,Pezizomycetes,Pezizales,Sarcoscyphaceae,Sarcoscypha,,,GENUS,Sarcoscypha (Fr.) Boud.,Sarcoscypha,,UA,,Kiev,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,50.500008,30.802618,,,,,,,2023-02-25T12:38:52,25,2,2023,2581823,,HUMAN_OBSERVATION,iNaturalist,Observations,149649884,,Aleksa Torri,2023-02-25T17:33:03,CC_BY_NC_4_0,Aleksa Torri,Aleksa Torri,,,2025-05-16T19:24:47.817Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5062484052,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/73123784,Fungi,Ascomycota,Pezizomycetes,Pezizales,Sarcoscyphaceae,Sarcoscypha,,,GENUS,Sarcoscypha (Fr.) Boud.,Sarcoscypha,,UA,,Transcarpathia,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,48.4086,23.079329,39,,,,,,2021-04-05T07:51,5,4,2021,2581823,,HUMAN_OBSERVATION,iNaturalist,Observations,73123784,,bogsuckers,2023-01-22T10:39:28,CC_BY_NC_4_0,Tom Kirschey,Tom Kirschey,,,2025-05-16T18:05:42.802Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4994379638,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/210384113,Fungi,Ascomycota,Pezizomycetes,Pezizales,Sarcoscyphaceae,Sarcoscypha,,,GENUS,Sarcoscypha (Fr.) Boud.,Sarcoscypha,,UA,,Vinnytsya,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,49.228958,28.371501,2,,,,,,2020-04-02T11:16,2,4,2020,2581823,,HUMAN_OBSERVATION,iNaturalist,Observations,210384113,,T. Pedro Hafermann,2024-11-28T06:39:51,CC_BY_NC_4_0,olexandrzhmurko,olexandrzhmurko,,,2025-05-16T18:36:22.132Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4993888501,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/210090663,Fungi,Ascomycota,Pezizomycetes,Pezizales,Sarcoscyphaceae,Sarcoscypha,,,GENUS,Sarcoscypha (Fr.) Boud.,Sarcoscypha,,UA,,Kiev City,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,50.345715,30.510082,15,,,,,,2024-04-26T09:06,26,4,2024,2581823,,HUMAN_OBSERVATION,iNaturalist,Observations,210090663,,Denis Davydov,2024-04-27T11:48:49,CC_BY_NC_4_0,Denis Davydov,Denis Davydov,,,2025-05-16T19:56:49.905Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4993815546,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/210160716,Fungi,Ascomycota,Pezizomycetes,Pezizales,Sarcoscyphaceae,Sarcoscypha,,,GENUS,Sarcoscypha (Fr.) Boud.,Sarcoscypha,,UA,,Cherkasy,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,49.721105,31.516294,,,,,,,2024-04-27T15:35:06,27,4,2024,2581823,,HUMAN_OBSERVATION,iNaturalist,Observations,210160716,,Mykola Borysenko,2024-04-27T14:14:13,CC_BY_4_0,Mykola Borysenko,Mykola Borysenko,,,2025-05-16T19:18:44.738Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4993798939,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/210675604,Fungi,Ascomycota,Pezizomycetes,Pezizales,Sarcoscyphaceae,Sarcoscypha,,,GENUS,Sarcoscypha (Fr.) Boud.,Sarcoscypha,,UA,,Ternopil',PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,48.828056,25.310981,16,,,,,,2024-02-26T13:50,26,2,2024,2581823,,HUMAN_OBSERVATION,iNaturalist,Observations,210675604,,Oleh Prylutskyi,2024-04-28T07:44:44,CC_BY_NC_4_0,Oleh Prylutskyi,Oleh Prylutskyi,,,2025-05-16T18:29:19.118Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
