"scientific_name","coordUncert","x","y","source"
"Sarcoscypha sp",50,31.51245,49.73228,"FB"
"Sarcoscypha sp",30,25.7795722,48.2168592,"FB"
"Sarcoscypha sp",30,36.310838,49.597858,"GBIF"
"Sarcoscypha sp",30,36.317725,49.597193,"GBIF"
"Sarcoscypha sp",30,36.311047,49.597783,"GBIF"
"Sarcoscypha sp",30,36.307615,49.593892,"GBIF"
"Sarcoscypha sp",30,36.31255,49.590718,"GBIF"
"Sarcoscypha sp",30,36.27268,50.08422,"GBIF"
"Sarcoscypha sp",30,36.280833,50.085243,"GBIF"
"Sarcoscypha sp",30,36.332804,49.601477,"GBIF"
"Sarcoscypha sp",30,36.322357,49.617944,"GBIF"
"Sarcoscypha sp",30,36.323755,49.617708,"GBIF"
"Sarcoscypha sp",30,36.332399,49.600943,"GBIF"
"Sarcoscypha sp",30,36.333791,49.601252,"GBIF"
"Sarcoscypha sp",30,36.266767,50.090956,"GBIF"
"Sarcoscypha sp",30,36.266495,50.08809,"GBIF"
"Sarcoscypha sp",30,36.272526,50.083279,"GBIF"
"Sarcoscypha sp",30,36.265625,50.087535,"GBIF"
"Sarcoscypha sp",30,36.26922583,50.08474821,"GBIF"
"Sarcoscypha sp",30,36.26631109,50.08835478,"GBIF"
"Sarcoscypha sp",30,36.32470903,49.611407,"GBIF"
"Sarcoscypha sp",30,36.321714,49.617873,"GBIF"
"Sarcoscypha sp",30,33.637546,44.677103,"iNaturalist"
"Sarcoscypha sp",30,36.334142,49.60551,"iNaturalist"
"Sarcoscypha sp",30,36.31741,49.578081,"iNaturalist"
"Sarcoscypha sp",30,36.323736,49.609811,"iNaturalist"
"Sarcoscypha sp",30,33.923037,51.248711,"iNaturalist"
"Sarcoscypha sp",30,33.857923,44.556986,"iNaturalist"
"Sarcoscypha sp",30,23.931577,49.902404,"iNaturalist"
"Sarcoscypha sp",30,36.16952,49.887057,"iNaturalist"
"Sarcoscypha sp",30,36.30715,49.60569,"iNaturalist"
"Sarcoscypha sp",30,36.30353,49.57455,"iNaturalist"
"Sarcoscypha sp",30,36.29734,49.57169,"iNaturalist"
"Sarcoscypha sp",30,30.496046,50.343791,"iNaturalist"
"Sarcoscypha sp",30,30.506703,50.345541,"iNaturalist"
"Sarcoscypha sp",30,30.50926,50.376591,"iNaturalist"
"Sarcoscypha sp",30,30.509937,50.376736,"iNaturalist"
"Sarcoscypha sp",30,33.525367,44.61665,"iNaturalist"
"Sarcoscypha sp",30,26.495242,50.730275,"iNaturalist"
"Sarcoscypha sp",30,34.039474,44.812413,"iNaturalist"
"Sarcoscypha sp",30,30.511585,50.381593,"iNaturalist"
"Sarcoscypha sp",30,33.164845,50.880751,"iNaturalist"
"Sarcoscypha sp",30,30.498057,50.371027,"iNaturalist"
"Sarcoscypha sp",30,36.324909,49.613785,"iNaturalist"
"Sarcoscypha sp",30,24.180084,48.975764,"iNaturalist"
"Sarcoscypha sp",30,24.557861,48.643139,"personal_comm"
"Sarcoscypha sp",30,24.556083,48.584361,"personal_comm"
"Sarcoscypha sp",30,24.586222,48.612861,"personal_comm"
"Sarcoscypha sp",30,24.564472,48.649167,"personal_comm"
"Sarcoscypha sp",50,26.051574,51.730121,"UkrBin"
"Sarcoscypha sp",50,30.506836,50.345488,"UkrBin"
"Sarcoscypha sp",50,32.057687,49.566555,"UkrBin"
"Sarcoscypha sp",50,32.215367,49.144857,"UkrBin"
"Sarcoscypha sp",50,24.262664,49.684161,"UkrBin"
"Sarcoscypha sp",50,24.035687,49.62629,"UkrBin"
"Sarcoscypha sp",50,24.126694,49.369111,"UkrBin"
"Sarcoscypha sp",50,24.738516,48.972786,"UkrBin"
"Sarcoscypha sp",50,25.217493,49.965989,"UkrBin"
"Sarcoscypha sp",50,25.952313,50.76336,"UkrBin"
"Sarcoscypha sp",50,25.935078,50.768991,"UkrBin"
"Sarcoscypha sp",50,25.806581,48.155255,"UkrBin"
"Sarcoscypha sp",50,26.247096,50.676872,"UkrBin"
"Sarcoscypha sp",50,24.307819,49.272106,"UkrBin"
"Sarcoscypha sp",50,24.218092,49.698396,"UkrBin"
"Sarcoscypha sp",50,23.474511,49.601537,"UkrBin"
"Sarcoscypha sp",50,31.005872,47.996514,"FB"
"Sarcoscypha sp",50,35.17714,47.74358,"FB"
"Sarcoscypha sp",50,25.418524,49.03756,"FB"
"Sarcoscypha sp",30,25.754749,50.07552,"FB"
"Sarcoscypha sp",50,23.165569,48.325359,"FB"
"Sarcoscypha sp",50,23.167304,48.326862,"FB"
"Sarcoscypha sp",100,24.30894,49.27275,"FB"
"Sarcoscypha sp",50,24.26598,49.20483,"personal_comm"
"Sarcoscypha sp",50,22.995107,49.450031,"FB"
"Sarcoscypha sp",50,22.996485,49.449976,"UkrBin"
"Sarcoscypha sp",50,29.0668,51.08586,"FB"
"Sarcoscypha sp",50,24.595629,48.405035,"FB"
"Sarcoscypha sp",50,23.7233333,49.0308611,"FB"
